,Player,Tm,Pos,Age,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Cmp,PassAtt,Cmp%,PassTD,TD%,Int,Int%,PassYds/A,AY/A,Y/C,PassYds/G,Rate,QBR,Sk,Sk%,RushAtt,RushYds,RushTD,RushYds/A,RushYds/G,Tgt,Rec,Ctch%,RecYds,Y/R,RecTD,Y/Tgt,R/G,RecYds/G,A/G,Touch,Y/Tch,YScm,RRTD
0,A.J. Brown,PHI,WR,26.0,184.0,289.6,294.6,236.6,51.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,106.0,0.0,1456.0,13.7,7.0,9.2,6.2,85.6,0.0,106.0,13.7,1456.0,7.0
1,A.J. McCarron,CIN,QB,33.0,1.0,0.8,0.8,0.8,0.0,74.0,0.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,3.8,3.8,4.8,9.5,82.5,1.6,1.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.T. Perry,NOR,WR,24.0,49.0,60.6,63.6,54.6,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,246.0,20.5,4.0,13.7,1.2,24.6,0.0,12.0,20.5,246.0,4.0
3,AJ Dillon,GNB,RB,25.0,96.0,117.6,123.6,106.6,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,613.0,2.0,3.4,40.9,28.0,22.0,0.0,223.0,10.1,0.0,8.0,1.5,14.9,11.9,200.0,4.2,836.0,2.0
4,Aaron Jones,GNB,RB,29.0,105.0,134.9,141.9,119.9,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,656.0,2.0,4.6,59.6,43.0,30.0,0.0,233.0,7.8,1.0,5.4,2.7,21.2,12.9,172.0,5.2,889.0,3.0
5,Aaron Rodgers,NYJ,QB,40.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,2.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Adam Prentice,NOR,FB,26.0,0.0,2.4,3.4,1.4,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,6.0,0.9,3.0,2.0,0.0,12.0,6.0,0.0,4.0,0.2,0.9,0.2,4.0,6.0,24.0,0.0
7,Adam Thielen,CAR,WR,33.0,128.0,231.0,234.0,179.5,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.4,137.0,103.0,0.0,1014.0,9.8,4.0,7.4,6.1,59.6,0.1,104.0,9.8,1020.0,4.0
8,Adam Trautman,DEN,TE,26.0,38.0,60.4,63.4,49.4,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,0.0,204.0,9.3,3.0,5.8,1.3,12.0,0.0,22.0,9.3,204.0,3.0
9,Aidan O'Connell,LVR,QB,25.0,126.0,125.8,137.8,132.8,0.0,28.0,0.0,213.0,343.0,62.1,12.0,3.5,7.0,2.0,6.5,6.2,10.4,201.6,83.9,40.5,24.0,6.5,17.0,11.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,17.0,0.6,11.0,1.0
